expense_id,employee_id,expense_date,category,description,amount,status
EXP0344,EMP086,2026-08-29,Meals,Business trip meals,1000,Pending
EXP0345,EMP086,2026-07-07,Local Transport,Taxi for client/business meeting,1100,Approved
EXP0346,EMP086,2026-07-14,Mileage,Approved personal vehicle mileage,720,Rejected
EXP0347,EMP086,2026-07-21,Conference,Approved business conference fee,4000,Pending
EXP0348,EMP087,2026-08-24,Meals,Business trip meals,1000,Pending
EXP0349,EMP087,2026-07-02,Local Transport,Taxi for client/business meeting,1100,Approved
EXP0350,EMP087,2026-07-09,Mileage,Approved personal vehicle mileage,1200,Rejected
EXP0351,EMP087,2026-07-16,Conference,Approved business conference fee,4000,Pending
EXP0352,EMP087,2026-07-23,Hotel,Domestic business hotel accommodation,5000,Approved
EXP0353,EMP087,2026-07-30,Flight,Domestic economy flight for business travel,3800,Rejected
EXP0354,EMP088,2026-08-26,Local Transport,Taxi for client/business meeting,1100,Approved
EXP0355,EMP088,2026-07-04,Mileage,Approved personal vehicle mileage,960,Rejected
EXP0356,EMP088,2026-07-11,Conference,Approved business conference fee,6500,Pending
EXP0357,EMP089,2026-08-28,Mileage,Approved personal vehicle mileage,1200,Rejected
EXP0358,EMP089,2026-07-06,Conference,Approved business conference fee,6500,Pending
EXP0359,EMP089,2026-07-13,Hotel,Domestic business hotel accommodation,4200,Approved
EXP0360,EMP089,2026-07-20,Flight,Domestic economy flight for business travel,5200,Rejected
EXP0361,EMP090,2026-07-01,Conference,Approved business conference fee,2500,Pending
EXP0362,EMP090,2026-07-08,Hotel,Domestic business hotel accommodation,5400,Approved
EXP0363,EMP090,2026-07-15,Flight,Domestic economy flight for business travel,3800,Rejected
EXP0364,EMP090,2026-07-22,Train,AC train ticket for business travel,900,Pending
EXP0365,EMP090,2026-07-29,Meals,Business trip meals,1000,Approved
EXP0366,EMP091,2026-07-03,Hotel,Domestic business hotel accommodation,5400,Approved
EXP0367,EMP091,2026-07-10,Flight,Domestic economy flight for business travel,6800,Rejected
EXP0368,EMP091,2026-07-17,Train,AC train ticket for business travel,3200,Pending
EXP0369,EMP091,2026-07-24,Meals,Business trip meals,1350,Approved
EXP0370,EMP091,2026-07-31,Local Transport,Taxi for client/business meeting,300,Rejected
EXP0371,EMP091,2026-08-07,Mileage,Approved personal vehicle mileage,1200,Pending
EXP0372,EMP092,2026-07-05,Flight,Domestic economy flight for business travel,6800,Rejected
EXP0373,EMP092,2026-07-12,Train,AC train ticket for business travel,2200,Pending
EXP0374,EMP092,2026-07-19,Meals,Business trip meals,650,Approved
EXP0375,EMP093,2026-07-07,Train,AC train ticket for business travel,2200,Pending
EXP0376,EMP093,2026-07-14,Meals,Business trip meals,1200,Approved
EXP0377,EMP093,2026-07-21,Local Transport,Taxi for client/business meeting,800,Rejected
EXP0378,EMP093,2026-07-28,Mileage,Approved personal vehicle mileage,480,Pending
EXP0379,EMP094,2026-07-09,Meals,Business trip meals,1000,Approved
EXP0380,EMP094,2026-07-16,Local Transport,Taxi for client/business meeting,1100,Rejected
EXP0381,EMP094,2026-07-23,Mileage,Approved personal vehicle mileage,960,Pending
EXP0382,EMP094,2026-07-30,Conference,Approved business conference fee,2500,Approved
EXP0383,EMP094,2026-08-06,Hotel,Domestic business hotel accommodation,6200,Rejected
EXP0384,EMP095,2026-07-11,Local Transport,Taxi for client/business meeting,1100,Rejected
EXP0385,EMP095,2026-07-18,Mileage,Approved personal vehicle mileage,480,Pending
EXP0386,EMP095,2026-07-25,Conference,Approved business conference fee,9000,Approved
EXP0387,EMP095,2026-08-01,Hotel,Domestic business hotel accommodation,4800,Rejected
EXP0388,EMP095,2026-08-08,Flight,Domestic economy flight for business travel,6800,Pending
EXP0389,EMP095,2026-08-15,Train,AC train ticket for business travel,1400,Approved
EXP0390,EMP096,2026-07-13,Mileage,Approved personal vehicle mileage,1200,Pending
EXP0391,EMP096,2026-07-20,Conference,Approved business conference fee,9000,Approved
EXP0392,EMP096,2026-07-27,Hotel,Domestic business hotel accommodation,5400,Rejected
EXP0393,EMP097,2026-07-15,Conference,Approved business conference fee,9000,Approved
EXP0394,EMP097,2026-07-22,Hotel,Domestic business hotel accommodation,6200,Rejected
EXP0395,EMP097,2026-07-29,Flight,Domestic economy flight for business travel,3800,Pending
EXP0396,EMP097,2026-08-05,Train,AC train ticket for business travel,1400,Approved
EXP0397,EMP098,2026-07-17,Hotel,Domestic business hotel accommodation,5400,Rejected
EXP0398,EMP098,2026-07-24,Flight,Domestic economy flight for business travel,6800,Pending
EXP0399,EMP098,2026-07-31,Train,AC train ticket for business travel,900,Approved
EXP0400,EMP098,2026-08-07,Meals,Business trip meals,650,Rejected
EXP0401,EMP098,2026-08-14,Local Transport,Taxi for client/business meeting,800,Pending
EXP0402,EMP099,2026-07-19,Flight,Domestic economy flight for business travel,6800,Pending
EXP0403,EMP099,2026-07-26,Train,AC train ticket for business travel,900,Approved
EXP0404,EMP099,2026-08-02,Meals,Business trip meals,650,Rejected
EXP0405,EMP099,2026-08-09,Local Transport,Taxi for client/business meeting,300,Pending
EXP0406,EMP099,2026-08-16,Mileage,Approved personal vehicle mileage,960,Approved
EXP0407,EMP099,2026-08-23,Conference,Approved business conference fee,2500,Rejected
EXP0408,EMP100,2026-07-21,Train,AC train ticket for business travel,2200,Approved
EXP0409,EMP100,2026-07-28,Meals,Business trip meals,1000,Rejected
EXP0410,EMP100,2026-08-04,Local Transport,Taxi for client/business meeting,550,Pending
EXP9991,EMP010,2026-08-18,Hotel,Domestic business hotel accommodation,4500,Pending
EXP9992,EMP010,2026-08-19,Meals,Business trip meals,1100,Approved
EXP9993,EMP011,2026-08-20,Hotel,Domestic business hotel accommodation,6200,Pending
